tcp,algorithm,tcp_throughput,tcp_latency,cbr_throughput,cbr_latency
Reno,DropTail,2.08032 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 0.22464 0.46592 0.84864 0.34112 0.44096 0.86528 0.61568 0.6656 0.80704 0.76544 1.13984 0.39936,0.0329803346614 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0335822962963 0.033292125 0.0333609607843 0.0332159756098 0.0334018679245 0.0330768557692 0.0333885 0.033283575 0.0332118969072 0.0331358586957 0.0331031313869 0.0332844583333,0 0 0 0 0 0 0 0 7.73472 7.9464 7.85904 7.9548 7.9464 7.97328 7.96824 7.98168 7.94472 8.02032 7.9632 8.00352,0 0 0 0 0 0 0 0 0.0306134793658 0.0307048116279 0.0308680504489 0.0306530257656 0.0307150691332 0.0308472054362 0.0308213925785 0.0308101664913 0.0308604430112 0.0308172266443 0.0309646021097 0.0306932986986
Reno,DropTail,2.08032 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 0.27456 0.24128 0.32448 0.71552 0.75712 0.44928 0.64064 0.90688 0.43264 0.624 0.97344 0.89856,0.0329803346614 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0338554848485 0.0331166896552 0.0332071538462 0.0332760232558 0.0332146703297 0.0332988148148 0.0332895844156 0.0332616513761 0.0333619230769 0.0332792 0.0331007435897 0.0330745648148,0 0 0 0 0 0 0 0 7.68768 7.99344 8.0052 7.98168 7.99848 7.95144 7.98168 7.91616 7.99176 7.95312 7.87584 7.92456,0 0 0 0 0 0 0 0 0.0306300262238 0.0306104510298 0.0306553746065 0.0308246708061 0.0308564444444 0.0306998244243 0.0307799294885 0.0309006320034 0.0307269081354 0.0307639098014 0.0308729528584 0.030860007208
Reno,DropTail,2.08032 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 0.31616 0.57408 0.48256 0.34112 0.416 0.47424 0.6656 0.3328 0.31616 0.72384 0.81536 0.67392,0.0329803346614 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0338218421053 0.0334827246377 0.033427362069 0.0332006097561 0.03336212 0.0334383157895 0.033389025 0.03322225 0.0331948684211 0.0333137586207 0.0331895306122 0.0331843703704,0 0 0 0 0 0 0 0 7.6692 7.88424 7.84896 8.02872 7.89936 7.8624 7.94976 7.95816 8.05896 7.938 7.9548 7.93968,0 0 0 0 0 0 0 0 0.0306470389923 0.0307684389516 0.0307144345034 0.0306545032434 0.0306874876648 0.0307146942308 0.0307979562553 0.0306526502005 0.0306425916198 0.0308304711111 0.0308606321014 0.0307886148963
Reno,DropTail,2.08032 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 0.46592 0.53248 0.38272 0.3744 0.69888 0.6656 0.40768 0.4576 0.50752 0.75712 0.72384 0.43264,0.0329803346614 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0335861428571 0.033377171875 0.0332498913043 0.0333753111111 0.0332335 0.033267 0.0335282244898 0.0332482363636 0.0332311147541 0.0333459120879 0.0332000689655 0.0332836538462,0 0 0 0 0 0 0 0 7.62552 7.9464 7.97664 7.9884 7.9716 7.90608 7.92288 7.93968 7.96488 7.87416 8.0304 7.95144,0 0 0 0 0 0 0 0 0.0306900202688 0.0307467016913 0.030683789385 0.0306813425868 0.0308150364594 0.0307889405015 0.0307051991094 0.0306955425307 0.0307214511706 0.0308359195648 0.0308188144351 0.0306861795901
Reno,DropTail,2.08032 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 0.34112 0.60736 0.416 0.416 0.54912 0.49088 0.4992 0.89856 0.59072 0.65728 0.34944 0.61568,0.0329803346614 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0339211463415 0.0334382739726 0.03329748 0.03340782 0.0332078939394 0.0333127627119 0.0333151333333 0.0332565 0.0330826619718 0.0333911012658 0.0332260238095 0.0333125945946,0 0 0 0 0 0 0 0 7.68936 7.92288 7.93296 7.94976 7.98336 7.95816 7.91784 7.89432 7.9968 7.8708 7.9884 7.94472,0 0 0 0 0 0 0 0 0.0306490696963 0.0307764435963 0.0306858405337 0.030717990279 0.0307467369529 0.0307225758919 0.0307099127944 0.0309024728666 0.0307356071429 0.0308041613661 0.0306486281809 0.0307918124339
Reno,DropTail,2.08032 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 0.36608 0.49088 1.01504 0.39104 0.40768 0.34112 0.47424 0.2912 0.31616 0.50752 0.54912 0.82368,0.0329803346614 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0339079545455 0.0331699491525 0.0333747786885 0.0331726382979 0.0333905510204 0.0332501219512 0.0333969649123 0.0331326857143 0.0332881578947 0.033245852459 0.0334174242424 0.033282959596,0 0 0 0 0 0 0 0 7.65408 7.8876 7.85904 7.96488 7.94472 7.93968 7.96656 7.98504 7.99512 7.95312 7.96992 7.86576,0 0 0 0 0 0 0 0 0.0306738463565 0.0307131465389 0.0309650412569 0.0306706739085 0.0306980894481 0.0306591667372 0.0307318553353 0.0306329187881 0.0306463214961 0.0307055855513 0.030754886172 0.0308577631354
Reno,DropTail,2.08032 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 0.28288 0.48256 0.68224 0.36608 0.48256 0.416 0.3744 0.39936 0.54912 0.81536 0.38272 0.3328,0.0329803346614 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0341997941176 0.033169137931 0.0334965609756 0.0332812727273 0.0331720517241 0.03325934 0.0334173555556 0.0333494791667 0.0333094090909 0.0332568469388 0.0333341956522 0.033260575,0 0 0 0 0 0 0 0 7.70616 7.97328 7.8876 7.92456 7.97496 7.94304 7.94304 7.93968 7.91448 7.88424 7.98168 7.97664,0 0 0 0 0 0 0 0 0.0306322295618 0.0307042783397 0.0308283086262 0.0306692878948 0.0307174196335 0.0306915953892 0.0306792041032 0.0306799576809 0.0307460562513 0.0308569599403 0.03067525763 0.0306547504212
Reno,DropTail,2.08032 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 0.32448 0.3744 0.3744 0.36608 0.28288 0.61568 0.32448 0.51584 0.6656 0.4992 0.59072 0.47424,0.0329803346614 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0337828974359 0.0332380888889 0.0331835777778 0.0332478409091 0.0332383823529 0.0332251756757 0.033060025641 0.0332206774194 0.0332954 0.0333439833333 0.0332417323944 0.0334386315789,0 0 0 0 0 0 0 0 7.69608 7.91952 7.92792 8.00688 8.0304 7.8876 7.94472 7.96656 7.98504 8.01192 7.90608 7.92792,0 0 0 0 0 0 0 0 0.0306440299061 0.0306582458634 0.0306553640602 0.0306765633655 0.0306324866109 0.0307742185304 0.0306484738845 0.0307290333193 0.0308045221965 0.0307493478717 0.0307642029324 0.0307154664124
Reno,DropTail,2.08032 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 0.48256 0.59072 0.47424 0.51584 0.7488 0.2912 0.50752 0.34944 0.67392 0.59904 0.61568 0.44928,0.0329803346614 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0338310344828 0.0331323661972 0.033445754386 0.0333483387097 0.0332693111111 0.0331916 0.0333208688525 0.033219452381 0.0331440493827 0.0332962638889 0.0333172027027 0.0334089259259,0 0 0 0 0 0 0 0 7.6692 7.91952 7.92288 7.94472 7.94136 7.9296 7.91952 7.91448 7.98504 7.9044 7.92792 7.92792,0 0 0 0 0 0 0 0 0.030693856736 0.030763245227 0.0307151823579 0.0307443102136 0.0308356524223 0.0306198758475 0.0307389915146 0.0306499138187 0.0307984982117 0.0307728803401 0.030768939182 0.0307050648442
Reno,DropTail,2.08032 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 0.28288 0.29952 0.55744 0.36608 0.39936 0.44928 0.26624 0.52416 0.60736 0.68224 0.39936 0.76544,0.0329803346614 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0339211764706 0.0332304166667 0.0333328955224 0.0331995 0.0333074791667 0.0332342592593 0.033158875 0.0332953809524 0.0330007534247 0.0332717439024 0.0332899583333 0.0331840652174,0 0 0 0 0 0 0 0 7.67592 7.95144 7.9128 7.98 7.98504 7.96152 7.96488 7.93128 7.94808 7.94808 8.0052 7.94976,0 0 0 0 0 0 0 0 0.030632471438 0.0306473500951 0.0307546012739 0.0306711174737 0.0306864414054 0.0307155245832 0.0306189902974 0.0307348862529 0.0307327863031 0.0308192504756 0.0306988734523 0.0308149581572
Reno,DropTail,2.08032 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 0.26624 0.59072 0.43264 0.43264 0.56576 0.59904 0.55744 0.5408 0.28288 0.6656 0.51584 0.64896,0.0329803346614 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.03379825 0.0333649577465 0.0332171153846 0.0332417307692 0.0330709264706 0.0333485555556 0.033387761194 0.0331887846154 0.0333191176471 0.03323735 0.0334125967742 0.033255025641,0 0 0 0 0 0 0 0 7.70112 7.88256 7.97328 8.0052 7.9968 7.88928 7.9296 7.97664 8.0388 7.91952 7.9464 8.04216,0 0 0 0 0 0 0 0 0.0306271858639 0.030748337809 0.030687053308 0.030704924659 0.0307364855042 0.0307914386712 0.0307456896186 0.0307427476832 0.0306419398119 0.0307886088248 0.0307724205074 0.0307943476081
Reno,DropTail,2.08032 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 0.2912 0.32448 0.57408 0.73216 0.57408 0.624 0.3744 0.48256 0.39104 0.44096 0.82368 0.94016,0.0329803346614 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0338605714286 0.0332071025641 0.0332676811594 0.0332788863636 0.0332265652174 0.0332928 0.0332379333333 0.0333220344828 0.0331904042553 0.0333099056604 0.0331333636364 0.0330596106195,0 0 0 0 0 0 0 0 7.66584 7.97496 7.96824 7.9548 7.89264 7.93632 7.98168 7.9716 7.91112 7.9464 7.97328 7.95144,0 0 0 0 0 0 0 0 0.0306366210826 0.0306399058353 0.0307743373392 0.0308397987328 0.0307316187739 0.0307734834886 0.0306726941696 0.0307249513172 0.0306536744532 0.0306818852008 0.0308455802781 0.0308713748151
Reno,DropTail,2.08032 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 0.34112 0.46592 0.44096 0.56576 0.44096 0.6656 0.79872 0.75712 0.34112 0.72384 0.89856 0.8736,0.0329803346614 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0341152439024 0.0332350357143 0.0333000188679 0.0332549558824 0.0333109811321 0.0332187875 0.0331610208333 0.0331804175824 0.0333653658537 0.033281183908 0.0331818981481 0.0332852761905,0 0 0 0 0 0 0 0 7.67928 7.94136 7.94976 7.9632 7.938 7.9296 7.98 8.00856 7.97496 7.92456 7.92288 7.896,0 0 0 0 0 0 0 0 0.0306466628746 0.030714150201 0.0306998907439 0.0307485293249 0.0306905843386 0.0307896932203 0.0308474578947 0.0308340549612 0.0306593928797 0.0308039506042 0.0308694800679 0.03090399
Reno,DropTail,2.08032 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 0.27456 0.57408 0.97344 0.36608 0.43264 0.59904 0.48256 0.59072 0.38272 0.71552 1.04 0.9152,0.0329803346614 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0337653030303 0.0333788115942 0.0332781282051 0.0333339545455 0.0332190961538 0.0333564583333 0.0334516034483 0.0332577464789 0.033222673913 0.033362627907 0.033216984 0.0332312181818,0 0 0 0 0 0 0 0 7.6944 7.94976 7.92792 7.91952 7.9884 7.94136 7.89264 7.96152 8.02368 7.90776 7.9128 7.90608,0 0 0 0 0 0 0 0 0.030624860262 0.0307511426458 0.0309101803348 0.0306560723377 0.0306903634069 0.0307731493548 0.0307295870583 0.0307408619962 0.0306843976131 0.030821050563 0.0309720199575 0.0308862836804
Reno,RED,0.59104 1.872 2.65408 2.64576 2.64576 2.64576 2.6624 2.6624 0.88192 0.75712 1.31456 2.25472 1.92192 0.6656 1.61408 0.73216 1.08992 1.08992 1.2896 2.31296,0.0338377777778 0.0328066133333 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0340381037736 0.0338960989011 0.0339378734177 0.0350608339483 0.0357688571429 0.0337952125 0.0346327061856 0.0340140795455 0.0343546793893 0.0341174580153 0.0339777548387 0.0352228741007,0 0 0 0 0 0 0 0 7.69608 7.96152 7.938 7.68264 7.6692 7.94472 7.79352 7.95984 7.97664 7.94136 8.04216 7.64232,0 0 0 0 0 0 0 0 0.0310582787601 0.0311209892382 0.0315231360847 0.0330803236387 0.0331841555312 0.0309981877775 0.0320365977581 0.031156507176 0.0315474713564 0.0314750342712 0.0315462780447 0.0333185416575
Reno,RED,0.59104 1.872 2.65408 2.64576 2.64576 2.64576 2.6624 2.6624 0.53248 0.97344 1.00672 1.13152 1.9136 2.52096 1.38112 1.07328 1.39776 1.60576 0.63232 1.31456,0.0338377777778 0.0328066133333 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.034041453125 0.0340774188034 0.0345001404959 0.0340188676471 0.0346216217391 0.0358023762376 0.0357283192771 0.0342009767442 0.0341233869048 0.0348662279793 0.0338177894737 0.0344223797468,0 0 0 0 0 0 0 0 7.70784 7.938 7.9296 7.96152 7.77336 7.476 7.74648 7.90776 7.91112 7.93296 7.98 7.91784,0 0 0 0 0 0 0 0 0.0307787000872 0.031343802963 0.0314383898305 0.0314639820637 0.0323849163605 0.0340362060674 0.0323718271525 0.0313985332484 0.0316921380336 0.0323721060991 0.0310159153684 0.031736996393
Reno,RED,0.59104 1.872 2.65408 2.64576 2.64576 2.64576 2.6624 2.6624 0.84864 1.35616 2.50432 2.52928 1.42272 1.00672 1.75552 0.88192 1.29792 1.34784 0.88192 1.42272,0.0338377777778 0.0328066133333 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0342220392157 0.0338183312883 0.0357604784053 0.0358658157895 0.0357221345029 0.0340022479339 0.0344908388626 0.0350872358491 0.0342788846154 0.0340260925926 0.0346900283019 0.0343605789474,0 0 0 0 0 0 0 0 7.67424 7.9716 7.49952 7.476 7.78008 7.9464 7.8456 7.89096 8.0052 7.98336 7.94472 7.88256,0 0 0 0 0 0 0 0 0.0310726536778 0.0315900916754 0.0339579314516 0.0341149622472 0.0324436465126 0.0313398657505 0.0322377398287 0.0315070323611 0.0317125019937 0.031703229798 0.0314569767393 0.0318188275789
Reno,RED,0.59104 1.872 2.65408 2.64576 2.64576 2.64576 2.6624 2.6624 0.84864 1.4976 1.64736 0.4992 1.68064 0.53248 0.93184 1.63904 2.52096 1.33952 1.06496 1.06496,0.0338377777778 0.0328066133333 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0341753529412 0.0337749666667 0.0343344949495 0.0337527166667 0.0346166881188 0.033630921875 0.0343230089286 0.0343288730964 0.0358190363036 0.0356729130435 0.0342267421875 0.0346538359375,0 0 0 0 0 0 0 0 7.63896 8.00688 7.94808 7.9632 7.9128 7.9968 8.00856 7.89936 7.47432 7.78176 7.9548 7.88088,0 0 0 0 0 0 0 0 0.0311153512206 0.0316226842216 0.0320910541112 0.0308408774262 0.0322193288747 0.0308988997899 0.031362796308 0.032050047852 0.0340476464374 0.0322990123057 0.0315158019007 0.0314889931784
Reno,RED,0.59104 1.872 2.65408 2.64576 2.64576 2.64576 2.6624 2.6624 0.84864 1.43104 1.10656 1.22304 0.9152 1.28128 1.456 1.61408 0.79872 1.53088 0.52416 1.71392,0.0338377777778 0.0328066133333 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.034199627451 0.0337557965116 0.0352018796992 0.0340649319728 0.0346386909091 0.0341697402597 0.0342841428571 0.0342045876289 0.03488053125 0.0343859945652 0.0342569206349 0.034473815534,0 0 0 0 0 0 0 0 7.61712 7.95648 7.85568 7.98 7.91616 7.95312 7.88928 7.9464 7.95816 7.9128 8.01024 7.87248,0 0 0 0 0 0 0 0 0.0310976726952 0.0315915956503 0.0317964696322 0.031552988 0.0313421213922 0.0316425031686 0.0317439133305 0.0319825 0.0313496858771 0.0319738845011 0.0309768942953 0.0321173267179
Reno,RED,0.59104 1.872 2.65408 2.64576 2.64576 2.64576 2.6624 2.6624 0.9152 1.36448 0.80704 1.94688 0.57408 1.56416 0.72384 1.39776 0.47424 1.93024 0.51584 1.33952,0.0338377777778 0.0328066133333 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0340609272727 0.0348406585366 0.0339337628866 0.0351076196581 0.0337237681159 0.0343535851064 0.0342258505747 0.0342481845238 0.0335779473684 0.0347434051724 0.0338054516129 0.0338508136646,0 0 0 0 0 0 0 0 7.65408 7.92456 7.98672 7.7196 8.03376 7.92456 8.04888 7.89264 8.00352 7.76664 7.97496 7.99512,0 0 0 0 0 0 0 0 0.0310987693152 0.032110754717 0.0311745961296 0.0327075199129 0.0309372304475 0.031908242951 0.0311752287623 0.0317441462324 0.0308752222922 0.0324830330954 0.0308541609438 0.0316156555999
Reno,RED,0.59104 1.872 2.65408 2.64576 2.64576 2.64576 2.6624 2.6624 0.84864 1.43104 1.40608 0.98176 1.14816 1.17312 0.64064 1.2896 1.64736 1.15648 2.47104 1.46432,0.0338377777778 0.0328066133333 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0342028431373 0.0337811976744 0.0353846153846 0.0340677966102 0.0347829927536 0.0341140141844 0.0341405844156 0.0341142903226 0.0349369747475 0.0344132086331 0.035436 0.0357584431818,0 0 0 0 0 0 0 0 7.69944 8.00352 7.81536 7.97496 7.8708 7.9464 8.04888 7.94136 7.87752 7.9296 7.5264 7.74984,0 0 0 0 0 0 0 0 0.0310796406284 0.0316257550378 0.0322591670249 0.0313627413103 0.0316783442903 0.0315813477801 0.0310757647673 0.0316765242226 0.0323761256131 0.0315858512712 0.0335541901786 0.0325217836549
Reno,RED,0.59104 1.872 2.65408 2.64576 2.64576 2.64576 2.6624 2.6624 0.89856 1.53088 0.7072 1.57248 0.73216 1.10656 1.09824 0.6656 1.33952 0.72384 1.71392 0.4992,0.0338377777778 0.0328066133333 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0339666481481 0.0347834347826 0.0338577176471 0.0346516296296 0.0339059090909 0.0342987894737 0.0341604242424 0.034166625 0.0340936024845 0.0337847241379 0.034394868932 0.0339530333333,0 0 0 0 0 0 0 0 7.6608 7.85904 7.92456 7.89264 8.0304 7.93296 7.9968 7.99176 7.92624 7.94304 7.92288 7.96152,0 0 0 0 0 0 0 0 0.0311188567982 0.0321897858059 0.0310406423574 0.0320651257982 0.0311535046025 0.0314553333333 0.0315173855042 0.0310437212529 0.0316734082238 0.0310333447547 0.0322027699321 0.0308691561511
Reno,RED,0.59104 1.872 2.65408 2.64576 2.64576 2.64576 2.6624 2.6624 0.89856 1.23968 0.88192 1.08992 1.18976 0.624 1.59744 0.48256 1.43104 0.81536 1.73056 0.4992,0.0338377777778 0.0328066133333 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0340227962963 0.0346434563758 0.034068009434 0.0345044198473 0.0341456293706 0.0339112666667 0.0343471770833 0.0338121551724 0.0344590174419 0.0337290714286 0.0343840336538 0.0336915333333,0 0 0 0 0 0 0 0 7.6776 7.91784 7.98 7.92624 7.8876 8.02368 7.89936 7.94808 7.854 7.9884 7.85568 7.99848,0 0 0 0 0 0 0 0 0.0311008557987 0.0318388438362 0.03129528 0.0314968359474 0.0314760532481 0.0310171915829 0.0320036154828 0.0308497245825 0.0318940921925 0.0310815078864 0.0321166745081 0.030882621298
Reno,RED,0.59104 1.872 2.65408 2.64576 2.64576 2.64576 2.6624 2.6624 0.84864 2.10496 0.93184 1.4144 0.54912 1.72224 0.49088 1.43936 0.63232 1.17312 1.00672 1.43936,0.0338377777778 0.0328066133333 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0341483431373 0.0349954664032 0.0353141160714 0.0341529705882 0.0341016969697 0.0344464492754 0.0337158644068 0.0343421907514 0.0339655 0.0344442624113 0.0341141735537 0.0349323294798,0 0 0 0 0 0 0 0 7.65744 7.71624 7.88424 7.92456 7.98 7.85568 8.01024 7.88928 8.07744 7.89768 7.93464 7.812,0 0 0 0 0 0 0 0 0.0310739519526 0.0328659379491 0.0316471546985 0.0317517101972 0.0309290254737 0.0320982467921 0.0308448684983 0.0318060798552 0.0310465180948 0.0315361646458 0.0313833360152 0.0319424307527
Reno,RED,0.59104 1.872 2.65408 2.64576 2.64576 2.64576 2.6624 2.6624 0.89024 1.38112 0.77376 1.63904 0.52416 1.73056 0.51584 1.53088 0.56576 1.86368 0.56576 1.51424,0.0338377777778 0.0328066133333 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0340598971963 0.0346447590361 0.0339030215054 0.0343753807107 0.0338386507937 0.0344901682692 0.033803 0.0345611684783 0.0337471764706 0.0347638571429 0.0337871617647 0.0345255604396,0 0 0 0 0 0 0 0 7.67928 7.9632 7.97832 7.88928 7.99344 7.84728 7.99344 7.93128 7.99512 7.82544 8.00184 7.88592,0 0 0 0 0 0 0 0 0.0310748925837 0.0319588400844 0.0311778298589 0.0319998383731 0.0308862700715 0.0321419841576 0.0308688812526 0.0320801270917 0.030944313091 0.0323290837269 0.0309331711106 0.03194613464
Reno,RED,0.59104 1.872 2.65408 2.64576 2.64576 2.64576 2.6624 2.6624 0.9152 1.52256 0.7072 1.23968 0.9568 1.40608 2.15488 2.52096 2.52096 2.39616 0.51584 1.3728,0.0338377777778 0.0328066133333 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0339129545455 0.0348198032787 0.0338316235294 0.0345454966443 0.0340534521739 0.0339976331361 0.0349571814672 0.0358578217822 0.0358833267327 0.0358893611111 0.0338730967742 0.0340385939394,0 0 0 0 0 0 0 0 7.66416 7.91112 7.8876 7.91112 7.90944 7.93968 7.71792 7.48272 7.47936 7.53648 7.99848 8.04384,0 0 0 0 0 0 0 0 0.0310493437089 0.0322626396262 0.03101785836 0.031707555532 0.0313291212829 0.0315695973339 0.0329552932085 0.0341124149079 0.034136771788 0.0339767338386 0.0308686910313 0.0317793939014
Reno,RED,0.59104 1.872 2.65408 2.64576 2.64576 2.64576 2.6624 2.6624 0.84864 1.31456 0.78208 1.23136 1.5808 0.99008 1.3728 0.67392 1.32288 1.43936 2.51264 2.21312,0.0338377777778 0.0328066133333 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0342194313725 0.0346350253165 0.0339755425532 0.0345984189189 0.0345070736842 0.0352746218487 0.0341450606061 0.0344117530864 0.034171572327 0.0339798208092 0.0356964768212 0.0358326315789,0 0 0 0 0 0 0 0 7.70784 7.95648 8.00016 7.89432 7.91952 7.9128 7.88256 7.938 7.9212 7.93968 7.48776 7.58856,0 0 0 0 0 0 0 0 0.031093233871 0.0318993699324 0.0312485562789 0.0316965313897 0.0321488748409 0.0316746352442 0.0316854092072 0.0311091968254 0.0316129599152 0.031702750529 0.0338456273278 0.0336326911667
Reno,RED,0.59104 1.872 2.65408 2.64576 2.64576 2.64576 2.6624 2.6624 0.69056 1.5392 2.21312 0.53248 1.59744 0.64064 1.65568 0.64896 1.29792 0.94848 1.23968 1.664,0.0338377777778 0.0328066133333 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.034069060241 0.0343104324324 0.0357528796992 0.033674109375 0.034653078125 0.0339302337662 0.0347683467337 0.0338489487179 0.0344745512821 0.0340385263158 0.0345726375839 0.034802355,0 0 0 0 0 0 0 0 7.65408 7.854 7.60032 7.96152 7.86744 7.97496 7.82376 7.93632 7.93296 7.92288 7.85064 7.8708,0 0 0 0 0 0 0 0 0.0309086935909 0.0318625251337 0.033546847038 0.0309277991137 0.032069779842 0.031038527491 0.0321856794073 0.0310554741744 0.0317389828463 0.0312576944444 0.0315851393109 0.0323313248666
Reno,RED,0.59104 1.872 2.65408 2.64576 2.64576 2.64576 2.6624 2.6624 0.84864 1.4976 0.92352 1.35616 0.79872 1.5392 0.54912 1.73056 0.44928 1.456 1.27296 0.99008,0.0338377777778 0.0328066133333 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0341040392157 0.0339297111111 0.0345322612613 0.0340943865031 0.0349078541667 0.0342384486486 0.0341966666667 0.0344803461538 0.0338875925926 0.0340552742857 0.0349689477124 0.0339510672269,0 0 0 0 0 0 0 0 7.67424 7.97664 7.94976 7.86912 7.896 7.9296 7.95984 7.854 7.95312 7.93632 7.96152 7.97328,0 0 0 0 0 0 0 0 0.0310687425569 0.0316980398062 0.0314123070583 0.0316160480359 0.0313060597872 0.0318971836864 0.0309479474462 0.0321877576471 0.0308310599916 0.0317858886537 0.0320189088415 0.031312802992
Reno,RED,0.59104 1.872 2.65408 2.64576 2.64576 2.64576 2.6624 2.6624 0.84032 1.46432 0.60736 1.5808 0.50752 1.69728 0.53248 1.43936 0.73216 1.19808 1.04 1.47264,0.0338377777778 0.0328066133333 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0339237425743 0.0340837954545 0.0343610136986 0.0344685052632 0.0337960491803 0.0346095686275 0.0337028125 0.0345121734104 0.0340273068182 0.0345355138889 0.033980936 0.0341803220339,0 0 0 0 0 0 0 0 7.64736 7.9044 7.98168 7.9044 8.04216 7.84392 7.938 7.90944 8.04888 7.8876 7.88424 7.91616,0 0 0 0 0 0 0 0 0.0309863949912 0.031810866525 0.0310466034519 0.0320569829968 0.0308797037811 0.0321937541229 0.0308854533333 0.0318765649958 0.0311358768524 0.0316651831736 0.0313879301087 0.031737553056
Reno,RED,0.59104 1.872 2.65408 2.64576 2.64576 2.64576 2.6624 2.6624 0.68224 1.61408 0.46592 1.7056 0.48256 1.48928 1.68064 2.52928 2.52096 2.4544 0.44928 1.43104,0.0338377777778 0.0328066133333 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0339331585366 0.0344496804124 0.0338325535714 0.034685102439 0.0335603965517 0.0343258938547 0.0342327772277 0.0358352105263 0.0358833267327 0.0358978711864 0.0337081296296 0.0342321453488,0 0 0 0 0 0 0 0 7.72296 7.89768 8.04552 7.854 8.08416 7.93632 7.91784 7.47768 7.47936 7.54152 7.98168 7.9968,0 0 0 0 0 0 0 0 0.0308563850337 0.0321484390555 0.0308375619127 0.0322707480214 0.0308506475478 0.0318960328112 0.0320808018247 0.0340883572231 0.0341336442049 0.0341038275785 0.0308236882762 0.0318740186975
Reno,RED,0.59104 1.872 2.65408 2.64576 2.64576 2.64576 2.6624 2.6624 0.52416 0.97344 1.30624 1.67232 0.5408 1.60576 0.4992 1.77216 0.5408 1.53088 1.4976 1.46432,0.0338377777778 0.0328066133333 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0340463650794 0.0341501282051 0.0346411082803 0.0344297014925 0.0342143692308 0.0344729015544 0.03353305 0.0345857699531 0.0336295692308 0.0343129076087 0.0341373833333 0.0338823068182,0 0 0 0 0 0 0 0 7.67928 8.01024 7.8792 7.86576 7.96152 7.90776 7.9296 7.83888 8.00688 7.93128 7.91952 7.90272,0 0 0 0 0 0 0 0 0.0307978400788 0.0314291296141 0.031756621322 0.0320647879111 0.0309746541464 0.0320861021882 0.0308132158898 0.0321860417917 0.0308980801511 0.0319130527431 0.0317368466271 0.0316161494473
